ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:	modulus			
9	00:00:02:123	11	9	245				0,043753313	0,035798165	0,974505607	0,976143964			
10	00:00:02:123	17	6	244				0,067618756	0,023865443	0,970528033	0,973173426			
11	00:00:02:123	19	4	247				0,075573904	0,015910296	0,982460754	0,985491596			
12	00:00:02:123	17	6	252				0,067618756	0,023865443	1,002348624	1,004910254			
13	00:00:02:123	8	7	260				0,031820591	0,027843017	1,034169215	1,035033212			
14	00:00:02:123	10	11	264				0,039775739	0,043753313	1,050079511	1,051743049			
15	00:00:02:123	21	4	263				0,083529052	0,015910296	1,046101937	1,049552048			
16	00:00:02:123	22	6	266				0,087506626	0,023865443	1,058034659	1,061915396			
17	00:00:02:123	20	2	258				0,079551478	0,007955148	1,026214067	1,029323581			
18	00:00:02:123	21	8	253				0,083529052	0,031820591	1,006326198	1,010288112			
19	00:00:02:123	17	3	246				0,067618756	0,011932722	0,97848318	0,980889403			
20	00:00:02:123	17	4	248				0,067618756	0,015910296	0,986438328	0,988881191			
21	00:00:02:123	16	7	243				0,063641182	0,027843017	0,966550459	0,969043458			
22	00:00:02:123	15	1	241				0,059663609	0,003977574	0,958595311	0,960458504			
23	00:00:02:123	10	1	242				0,039775739	0,003977574	0,962572885	0,963402558			
24	00:00:02:123	8	12	237				0,031820591	0,047730887	0,942685015	0,944428836			
25	00:00:02:123	15	6	245				0,059663609	0,023865443	0,974505607	0,976621975			
26	00:00:02:123	13	8	247				0,051708461	0,031820591	0,982460754	0,984335029			
27	00:00:02:124	13	8	253				0,051708461	0,031820591	1,006326198	1,008156105			
28	00:00:02:124	14	6	259				0,055686035	0,023865443	1,030191641	1,031971565			
29	00:00:02:124	17	6	257				0,067618756	0,023865443	1,022236493	1,02474841			
30	00:00:02:124	17	9	256				0,067618756	0,035798165	1,018258919	1,021129292			
31	00:00:02:124	18	7	262				0,07159633	0,027843017	1,042124363	1,044951892			
32	00:00:02:124	21	5	254				0,083529052	0,01988787	1,010303772	1,013945926			
