ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:
22	00:00:02:118	-5	1	254				-0,01988787	0,003977574	1,010303772
23	00:00:02:118	-2	0	250				-0,007955148	0	0,994393476
24	00:00:02:118	-6	0	256				-0,023865443	0	1,018258919
25	00:00:02:119	0	0	249				0	0	0,990415902
26	00:00:02:119	0	2	250				0	0,007955148	0,994393476
27	00:00:02:119	0	0	244				0	0	0,970528033
28	00:00:02:119	0	2	244				0	0,007955148	0,970528033
29	00:00:02:119	-2	4	248				-0,007955148	0,015910296	0,986438328
30	00:00:02:120	-1	0	259				-0,003977574	0	1,030191641
31	00:00:02:120	0	0	256				0	0	1,018258919
32	00:00:02:120	-2	3	255				-0,007955148	0,011932722	1,014281346
33	00:00:02:120	-4	4	252				-0,015910296	0,015910296	1,002348624
34	00:00:02:120	-1	1	256				-0,003977574	0,003977574	1,018258919
35	00:00:02:120	-2	2	254				-0,007955148	0,007955148	1,010303772
36	00:00:02:120	-2	3	251				-0,007955148	0,011932722	0,99837105
37	00:00:02:120	0	1	249				0	0,003977574	0,990415902
38	00:00:02:120	-3	3	251				-0,011932722	0,011932722	0,99837105
39	00:00:02:120	-2	2	251				-0,007955148	0,007955148	0,99837105
40	00:00:02:120	1	3	249				0,003977574	0,011932722	0,990415902
41	00:00:02:120	1	3	249				0,003977574	0,011932722	0,990415902
42	00:00:02:120	0	3	251				0	0,011932722	0,99837105
43	00:00:02:120	1	2	252				0,003977574	0,007955148	1,002348624
44	00:00:02:120	-1	2	255				-0,003977574	0,007955148	1,014281346
45	00:00:02:120	-3	2	254				-0,011932722	0,007955148	1,010303772
46	00:00:02:120	0	0	250				0	0	0,994393476
47	00:00:02:121	0	1	251				0	0,003977574	0,99837105
48	00:00:02:121	0	4	250				0	0,015910296	0,994393476
49	00:00:02:121	0	3	248				0	0,011932722	0,986438328
50	00:00:02:121	0	3	252				0	0,011932722	1,002348624
51	00:00:02:121	-3	3	253				-0,011932722	0,011932722	1,006326198
52	00:00:02:121	1	2	248				0,003977574	0,007955148	0,986438328
53	00:00:02:121	1	1	248				0,003977574	0,003977574	0,986438328
54	00:00:02:121	0	1	247				0	0,003977574	0,982460754
55	00:00:02:121	-3	2	250				-0,011932722	0,007955148	0,994393476
56	00:00:02:121	0	4	248				0	0,015910296	0,986438328
57	00:00:02:121	-3	1	252				-0,011932722	0,003977574	1,002348624
58	00:00:02:121	-1	1	254				-0,003977574	0,003977574	1,010303772
59	00:00:02:121	-2	2	254				-0,007955148	0,007955148	1,010303772
60	00:00:02:121	0	2	252				0	0,007955148	1,002348624
61	00:00:02:121	0	2	250				0	0,007955148	0,994393476
62	00:00:02:121	-3	3	246				-0,011932722	0,011932722	0,97848318
63	00:00:02:121	1	1	250				0,003977574	0,003977574	0,994393476
64	00:00:02:121	0	2	248				0	0,007955148	0,986438328
65	00:00:02:121	0	0	249				0	0	0,990415902
66	00:00:02:122	0	1	251				0	0,003977574	0,99837105
67	00:00:02:122	-1	3	250				-0,003977574	0,011932722	0,994393476
68	00:00:02:122	0	2	253				0	0,007955148	1,006326198
69	00:00:02:122	-5	3	254				-0,01988787	0,011932722	1,010303772
70	00:00:02:122	0	0	253				0	0	1,006326198
71	00:00:02:122	-3	0	254				-0,011932722	0	1,010303772
72	00:00:02:123	-4	3	253				-0,015910296	0,011932722	1,006326198
73	00:00:02:123	0	1	253				0	0,003977574	1,006326198
74	00:00:02:123	0	1	250				0	0,003977574	0,994393476
75	00:00:02:123	0	2	249				0	0,007955148	0,990415902
76	00:00:02:123	0	2	252				0	0,007955148	1,002348624
77	00:00:02:123	0	0	249				0	0	0,990415902
78	00:00:02:123	1	0	247				0,003977574	0	0,982460754
79	00:00:02:123	0	1	249				0	0,003977574	0,990415902
80	00:00:02:123	-1	2	246				-0,003977574	0,007955148	0,97848318
81	00:00:02:123	0	3	249				0	0,011932722	0,990415902
82	00:00:02:123	0	2	250				0	0,007955148	0,994393476
83	00:00:02:123	1	2	247				0,003977574	0,007955148	0,982460754
84	00:00:02:124	0	1	252				0	0,003977574	1,002348624
85	00:00:02:124	0	2	252				0	0,007955148	1,002348624
86	00:00:02:124	-2	4	249				-0,007955148	0,015910296	0,990415902
87	00:00:02:124	0	0	248				0	0	0,986438328
88	00:00:02:124	2	2	249				0,007955148	0,007955148	0,990415902
89	00:00:02:124	0	1	252				0	0,003977574	1,002348624
90	00:00:02:124	0	1	252				0	0,003977574	1,002348624
91	00:00:02:124	1	1	247				0,003977574	0,003977574	0,982460754
92	00:00:02:124	0	1	252				0	0,003977574	1,002348624
93	00:00:02:124	0	1	253				0	0,003977574	1,006326198
94	00:00:02:124	0	1	252				0	0,003977574	1,002348624
95	00:00:02:124	-2	0	250				-0,007955148	0	0,994393476
96	00:00:02:124	1	1	250				0,003977574	0,003977574	0,994393476
97	00:00:02:124	0	0	252				0	0	1,002348624
98	00:00:02:124	0	0	250				0	0	0,994393476
99	00:00:02:124	1	3	248				0,003977574	0,011932722	0,986438328
100	00:00:03:112	0	1	252				0	0,003977574	1,002348624
101	00:00:03:113	0	0	252				0	0	1,002348624
102	00:00:03:114	0	0	251				0	0	0,99837105
103	00:00:03:114	0	2	252				0	0,007955148	1,002348624
104	00:00:03:114	-3	1	255				-0,011932722	0,003977574	1,014281346
105	00:00:03:114	0	2	253				0	0,007955148	1,006326198
106	00:00:03:114	-1	2	251				-0,003977574	0,007955148	0,99837105
107	00:00:03:114	1	0	249				0,003977574	0	0,990415902
108	00:00:03:114	0	1	247				0	0,003977574	0,982460754
109	00:00:03:114	0	0	247				0	0	0,982460754
110	00:00:03:114	-1	0	252				-0,003977574	0	1,002348624
111	00:00:03:114	0	2	250				0	0,007955148	0,994393476
112	00:00:03:114	1	0	251				0,003977574	0	0,99837105
113	00:00:03:114	2	1	254				0,007955148	0,003977574	1,010303772
114	00:00:03:114	-1	3	246				-0,003977574	0,011932722	0,97848318
115	00:00:03:114	-1	0	251				-0,003977574	0	0,99837105
116	00:00:03:115	-1	1	260				-0,003977574	0,003977574	1,034169215
117	00:00:03:115	-3	4	256				-0,011932722	0,015910296	1,018258919
118	00:00:03:115	-2	3	256				-0,007955148	0,011932722	1,018258919
119	00:00:03:115	0	1	244				0	0,003977574	0,970528033
120	00:00:03:116	0	2	253				0	0,007955148	1,006326198
121	00:00:03:116	-1	3	253				-0,003977574	0,011932722	1,006326198
122	00:00:03:116	0	1	250				0	0,003977574	0,994393476
123	00:00:03:116	0	2	252				0	0,007955148	1,002348624
124	00:00:03:116	0	1	252				0	0,003977574	1,002348624
125	00:00:03:116	0	1	249				0	0,003977574	0,990415902
126	00:00:03:116	-1	1	251				-0,003977574	0,003977574	0,99837105
127	00:00:03:116	0	0	250				0	0	0,994393476
128	00:00:03:116	0	1	252				0	0,003977574	1,002348624
129	00:00:03:116	-1	3	251				-0,003977574	0,011932722	0,99837105
130	00:00:03:116	-2	2	251				-0,007955148	0,007955148	0,99837105
